t_rel_s,wall_iso,pct,completed,total,done_robot1,done_robot2,done_robot3,done_robot4,healthy,event
0.00,2026-06-19T20:11:44Z,0.00,0,32,0,0,0,0,4,mission_start
0.50,2026-06-19T20:11:45Z,0.00,0,32,0,0,0,0,4,
1.00,2026-06-19T20:11:45Z,0.00,0,32,0,0,0,0,4,
1.50,2026-06-19T20:11:46Z,0.00,0,32,0,0,0,0,4,
2.00,2026-06-19T20:11:46Z,0.00,0,32,0,0,0,0,4,
2.50,2026-06-19T20:11:47Z,0.00,0,32,0,0,0,0,4,
3.00,2026-06-19T20:11:47Z,0.00,0,32,0,0,0,0,4,
3.50,2026-06-19T20:11:48Z,0.00,0,32,0,0,0,0,4,
4.00,2026-06-19T20:11:48Z,0.00,0,32,0,0,0,0,4,
4.50,2026-06-19T20:11:49Z,0.00,0,32,0,0,0,0,4,
5.00,2026-06-19T20:11:49Z,0.00,0,32,0,0,0,0,4,
5.50,2026-06-19T20:11:50Z,0.00,0,32,0,0,0,0,4,
6.00,2026-06-19T20:11:50Z,0.00,0,32,0,0,0,0,4,
6.50,2026-06-19T20:11:51Z,0.00,0,32,0,0,0,0,4,
7.00,2026-06-19T20:11:51Z,0.00,0,32,0,0,0,0,4,
7.50,2026-06-19T20:11:52Z,0.00,0,32,0,0,0,0,4,
8.00,2026-06-19T20:11:52Z,0.00,0,32,0,0,0,0,4,
8.50,2026-06-19T20:11:53Z,0.00,0,32,0,0,0,0,4,
9.00,2026-06-19T20:11:53Z,0.00,0,32,0,0,0,0,4,
9.50,2026-06-19T20:11:54Z,0.00,0,32,0,0,0,0,4,
10.00,2026-06-19T20:11:54Z,0.00,0,32,0,0,0,0,4,
10.50,2026-06-19T20:11:55Z,0.00,0,32,0,0,0,0,4,
11.00,2026-06-19T20:11:55Z,0.00,0,32,0,0,0,0,4,
11.50,2026-06-19T20:11:56Z,0.00,0,32,0,0,0,0,4,
12.00,2026-06-19T20:11:56Z,0.00,0,32,0,0,0,0,4,
12.50,2026-06-19T20:11:57Z,0.00,0,32,0,0,0,0,4,
13.00,2026-06-19T20:11:57Z,0.00,0,32,0,0,0,0,4,
13.50,2026-06-19T20:11:58Z,0.00,0,32,0,0,0,0,4,
14.00,2026-06-19T20:11:58Z,0.00,0,32,0,0,0,0,4,
14.50,2026-06-19T20:11:59Z,0.00,0,32,0,0,0,0,4,
