t_rel_s,formation_error,cum_damage,centroid_x,centroid_y,cross_track,along_track,x_robot1,x_robot2,x_robot3,x_robot4,y_robot1,y_robot2,y_robot3,y_robot4
0.00,0.0000,0.0000,0.0001,-0.0000,0.0000,0.0000,2.0000,-1.9999,-1.9999,2.0001,2.0000,2.0000,-2.0000,-2.0000
0.10,0.0002,0.0000,0.0032,-0.0000,0.0000,0.0031,2.0031,-1.9967,-1.9971,2.0035,2.0000,2.0000,-2.0000,-2.0000
0.20,0.0005,0.0000,0.0160,-0.0000,0.0000,0.0159,2.0158,-1.9837,-1.9848,2.0167,2.0000,2.0000,-2.0000,-2.0000
0.30,0.0006,0.0001,0.0369,-0.0000,0.0000,0.0368,2.0366,-1.9628,-1.9641,2.0376,2.0000,2.0000,-2.0000,-2.0000
0.40,0.0007,0.0002,0.0588,-0.0000,0.0000,0.0588,2.0586,-1.9408,-1.9421,2.0596,1.9996,1.9996,-1.9996,-1.9995
0.50,0.0013,0.0003,0.0808,-0.0000,0.0000,0.0807,2.0806,-1.9188,-1.9201,2.0815,1.9988,1.9989,-1.9990,-1.9988
0.60,0.0021,0.0004,0.1028,-0.0000,0.0000,0.1027,2.1026,-1.8968,-1.8981,2.1035,1.9979,1.9981,-1.9982,-1.9978
0.70,0.0031,0.0007,0.1248,-0.0000,0.0000,0.1247,2.1246,-1.8748,-1.8762,2.1254,1.9968,1.9972,-1.9972,-1.9967
0.80,0.0042,0.0011,0.1468,-0.0000,0.0000,0.1468,2.1467,-1.8527,-1.8541,2.1475,1.9956,1.9962,-1.9962,-1.9956
0.90,0.0052,0.0015,0.1687,-0.0000,0.0000,0.1687,2.1686,-1.8308,-1.8322,2.1694,1.9944,1.9951,-1.9952,-1.9944
1.00,0.0063,0.0021,0.1908,-0.0000,0.0000,0.1907,2.1906,-1.8088,-1.8102,2.1914,1.9933,1.9941,-1.9942,-1.9932
1.10,0.0073,0.0028,0.2128,-0.0000,0.0000,0.2128,2.2127,-1.7867,-1.7881,2.2135,1.9922,1.9932,-1.9933,-1.9921
1.20,0.0083,0.0036,0.2349,-0.0000,0.0000,0.2348,2.2347,-1.7647,-1.7661,2.2356,1.9912,1.9923,-1.9924,-1.9911
1.30,0.0092,0.0044,0.2569,-0.0000,0.0000,0.2568,2.2567,-1.7427,-1.7441,2.2576,1.9902,1.9915,-1.9916,-1.9902
1.40,0.0100,0.0054,0.2788,-0.0000,0.0000,0.2788,2.2786,-1.7207,-1.7221,2.2796,1.9894,1.9907,-1.9908,-1.9894
1.50,0.0107,0.0064,0.3008,-0.0000,0.0000,0.3008,2.3006,-1.6987,-1.7001,2.3016,1.9886,1.9901,-1.9902,-1.9886
1.60,0.0113,0.0075,0.3228,-0.0000,0.0000,0.3227,2.3225,-1.6767,-1.6781,2.3236,1.9880,1.9895,-1.9896,-1.9880
1.70,0.0118,0.0087,0.3448,-0.0000,0.0000,0.3447,2.3445,-1.6547,-1.6561,2.3456,1.9874,1.9890,-1.9891,-1.9874
1.80,0.0122,0.0099,0.3668,-0.0000,0.0000,0.3667,2.3665,-1.6328,-1.6341,2.3675,1.9870,1.9886,-1.9887,-1.9869
1.90,0.0126,0.0111,0.3888,-0.0000,0.0000,0.3887,2.3885,-1.6107,-1.6121,2.3896,1.9866,1.9882,-1.9883,-1.9865
2.00,0.0129,0.0124,0.4106,-0.0000,0.0000,0.4106,2.4103,-1.5889,-1.5903,2.4114,1.9862,1.9880,-1.9880,-1.9862
2.10,0.0131,0.0137,0.4326,-0.0000,0.0000,0.4325,2.4323,-1.5670,-1.5683,2.4333,1.9860,1.9877,-1.9878,-1.9860
2.20,0.0133,0.0150,0.4545,-0.0000,0.0000,0.4545,2.4543,-1.5450,-1.5464,2.4553,1.9858,1.9875,-1.9876,-1.9858
2.30,0.0135,0.0164,0.4765,-0.0000,0.0000,0.4765,2.4763,-1.5230,-1.5244,2.4773,1.9856,1.9874,-1.9875,-1.9856
2.40,0.0136,0.0177,0.4984,-0.0000,0.0000,0.4984,2.4981,-1.5012,-1.5024,2.4992,1.9855,1.9873,-1.9874,-1.9855
2.50,0.0137,0.0191,0.5204,-0.0000,0.0000,0.5203,2.5201,-1.4792,-1.4805,2.5211,1.9854,1.9872,-1.9873,-1.9854
2.60,0.0137,0.0204,0.5424,-0.0000,0.0000,0.5423,2.5421,-1.4572,-1.4585,2.5431,1.9853,1.9872,-1.9872,-1.9854
2.70,0.0138,0.0218,0.5644,-0.0000,0.0000,0.5644,2.5641,-1.4352,-1.4365,2.5652,1.9853,1.9871,-1.9872,-1.9853
2.80,0.0138,0.0232,0.5864,-0.0000,0.0000,0.5864,2.5861,-1.4132,-1.4145,2.5872,1.9853,1.9871,-1.9872,-1.9853
2.90,0.0138,0.0246,0.6085,-0.0000,0.0000,0.6085,2.6082,-1.3911,-1.3924,2.6093,1.9853,1.9871,-1.9872,-1.9853
3.00,0.0138,0.0260,0.6306,-0.0000,0.0000,0.6306,2.6303,-1.3690,-1.3703,2.6314,1.9853,1.9871,-1.9872,-1.9853
3.10,0.0138,0.0273,0.6526,-0.0000,0.0000,0.6526,2.6523,-1.3469,-1.3483,2.6534,1.9853,1.9871,-1.9872,-1.9853
3.20,0.0138,0.0287,0.6746,-0.0000,0.0000,0.6746,2.6743,-1.3249,-1.3262,2.6754,1.9853,1.9871,-1.9872,-1.9853
3.30,0.0138,0.0301,0.6966,-0.0000,0.0000,0.6966,2.6963,-1.3029,-1.3043,2.6974,1.9853,1.9872,-1.9872,-1.9854
3.40,0.0137,0.0315,0.7186,-0.0000,0.0000,0.7185,2.7183,-1.2810,-1.2823,2.7194,1.9853,1.9872,-1.9872,-1.9854
3.50,0.0137,0.0328,0.7406,-0.0000,0.0000,0.7405,2.7403,-1.2590,-1.2603,2.7414,1.9854,1.9872,-1.9872,-1.9854
3.60,0.0137,0.0342,0.7626,-0.0000,0.0000,0.7626,2.7623,-1.2370,-1.2382,2.7634,1.9854,1.9872,-1.9872,-1.9854
3.70,0.0137,0.0356,0.7846,-0.0000,0.0000,0.7846,2.7843,-1.2150,-1.2163,2.7854,1.9854,1.9872,-1.9873,-1.9854
3.80,0.0137,0.0370,0.8066,-0.0000,0.0000,0.8066,2.8063,-1.1930,-1.1943,2.8074,1.9854,1.9872,-1.9873,-1.9854
3.90,0.0137,0.0383,0.8286,-0.0000,0.0000,0.8286,2.8283,-1.1710,-1.1722,2.8294,1.9854,1.9872,-1.9873,-1.9855
4.00,0.0137,0.0397,0.8506,-0.0000,0.0000,0.8506,2.8503,-1.1490,-1.1503,2.8514,1.9854,1.9873,-1.9873,-1.9855
4.10,0.0137,0.0411,0.8726,-0.0000,0.0000,0.8726,2.8723,-1.1269,-1.1283,2.8734,1.9854,1.9873,-1.9873,-1.9855
4.20,0.0136,0.0424,0.8946,-0.0000,0.0000,0.8946,2.8943,-1.1049,-1.1063,2.8954,1.9854,1.9873,-1.9873,-1.9855
4.30,0.0136,0.0438,0.9166,-0.0000,0.0000,0.9166,2.9163,-1.0830,-1.0843,2.9174,1.9854,1.9873,-1.9873,-1.9855
4.40,0.0136,0.0451,0.9386,-0.0000,0.0000,0.9385,2.9383,-1.0610,-1.0623,2.9393,1.9854,1.9873,-1.9873,-1.9855
4.50,0.0136,0.0465,0.9606,-0.0000,0.0000,0.9605,2.9603,-1.0390,-1.0403,2.9614,1.9854,1.9873,-1.9873,-1.9855
4.60,0.0137,0.0479,0.9826,-0.0000,0.0000,0.9825,2.9823,-1.0170,-1.0183,2.9834,1.9854,1.9873,-1.9873,-1.9855
4.70,0.0137,0.0492,1.0046,-0.0000,0.0000,1.0045,3.0043,-0.9950,-0.9963,3.0054,1.9854,1.9873,-1.9873,-1.9855
4.80,0.0137,0.0506,1.0266,-0.0000,0.0000,1.0265,3.0263,-0.9730,-0.9743,3.0274,1.9854,1.9873,-1.9873,-1.9854
4.90,0.0137,0.0520,1.0486,-0.0000,0.0000,1.0485,3.0483,-0.9510,-0.9523,3.0494,1.9854,1.9873,-1.9873,-1.9854
5.00,0.0137,0.0533,1.0706,-0.0000,0.0000,1.0705,3.0703,-0.9290,-0.9303,3.0714,1.9854,1.9872,-1.9873,-1.9854
5.10,0.0137,0.0547,1.0926,-0.0000,0.0000,1.0925,3.0923,-0.9070,-0.9083,3.0933,1.9854,1.9872,-1.9873,-1.9854
5.20,0.0137,0.0561,1.1146,-0.0000,0.0000,1.1145,3.1143,-0.8850,-0.8863,3.1154,1.9854,1.9872,-1.9873,-1.9854
5.30,0.0137,0.0574,1.1366,-0.0000,0.0000,1.1365,3.1363,-0.8630,-0.8643,3.1374,1.9854,1.9872,-1.9873,-1.9854
5.40,0.0137,0.0588,1.1586,-0.0000,0.0000,1.1585,3.1582,-0.8410,-0.8423,3.1593,1.9853,1.9872,-1.9873,-1.9854
5.50,0.0137,0.0602,1.1805,-0.0000,0.0000,1.1804,3.1802,-0.8191,-0.8204,3.1813,1.9853,1.9872,-1.9872,-1.9854
5.60,0.0137,0.0616,1.2025,-0.0000,0.0000,1.2025,3.2022,-0.7971,-0.7984,3.2033,1.9853,1.9872,-1.9872,-1.9854
5.70,0.0138,0.0629,1.2245,-0.0000,0.0000,1.2245,3.2242,-0.7750,-0.7764,3.2253,1.9853,1.9872,-1.9872,-1.9853
5.80,0.0138,0.0643,1.2464,-0.0000,0.0000,1.2464,3.2461,-0.7531,-0.7544,3.2472,1.9853,1.9872,-1.9872,-1.9853
5.90,0.0138,0.0657,1.2685,-0.0000,0.0000,1.2684,3.2682,-0.7311,-0.7324,3.2693,1.9853,1.9872,-1.9872,-1.9853
6.00,0.0138,0.0671,1.2905,-0.0000,0.0000,1.2904,3.2902,-0.7091,-0.7104,3.2913,1.9853,1.9872,-1.9872,-1.9853
6.10,0.0138,0.0684,1.3124,-0.0000,0.0000,1.3124,3.3121,-0.6872,-0.6885,3.3132,1.9853,1.9871,-1.9872,-1.9853
6.20,0.0138,0.0698,1.3345,-0.0000,0.0000,1.3344,3.3342,-0.6651,-0.6664,3.3353,1.9852,1.9871,-1.9872,-1.9853
6.30,0.0138,0.0712,1.3565,-0.0000,0.0000,1.3564,3.3562,-0.6431,-0.6444,3.3573,1.9852,1.9871,-1.9872,-1.9853
6.40,0.0138,0.0726,1.3785,-0.0000,0.0000,1.3784,3.3781,-0.6211,-0.6224,3.3792,1.9852,1.9871,-1.9872,-1.9853
6.50,0.0138,0.0740,1.4004,-0.0000,0.0000,1.4004,3.4001,-0.5992,-0.6005,3.4012,1.9852,1.9871,-1.9871,-1.9852
6.60,0.0139,0.0754,1.4224,-0.0000,0.0000,1.4224,3.4221,-0.5772,-0.5784,3.4232,1.9852,1.9871,-1.9871,-1.9852
6.70,0.0139,0.0767,1.4445,-0.0000,0.0000,1.4444,3.4442,-0.5551,-0.5564,3.4453,1.9852,1.9871,-1.9871,-1.9852
6.80,0.0139,0.0781,1.4665,-0.0000,0.0000,1.4664,3.4662,-0.5331,-0.5344,3.4673,1.9852,1.9871,-1.9871,-1.9852
6.90,0.0139,0.0795,1.4885,-0.0000,0.0000,1.4884,3.4882,-0.5111,-0.5124,3.4893,1.9852,1.9871,-1.9871,-1.9852
7.00,0.0139,0.0809,1.5105,-0.0000,0.0000,1.5104,3.5102,-0.4891,-0.4904,3.5113,1.9851,1.9871,-1.9871,-1.9852
7.10,0.0139,0.0823,1.5325,-0.0000,0.0000,1.5324,3.5322,-0.4671,-0.4684,3.5333,1.9851,1.9870,-1.9871,-1.9852
7.20,0.0139,0.0837,1.5545,-0.0000,0.0000,1.5544,3.5542,-0.4451,-0.4464,3.5552,1.9851,1.9870,-1.9871,-1.9852
7.30,0.0139,0.0851,1.5765,-0.0000,0.0000,1.5764,3.5761,-0.4231,-0.4244,3.5772,1.9851,1.9870,-1.9871,-1.9851
7.40,0.0139,0.0865,1.5985,-0.0000,0.0000,1.5984,3.5982,-0.4011,-0.4024,3.5993,1.9851,1.9870,-1.9871,-1.9851
7.50,0.0139,0.0879,1.6204,-0.0000,0.0000,1.6204,3.6201,-0.3791,-0.3804,3.6212,1.9851,1.9870,-1.9871,-1.9851
7.60,0.0140,0.0893,1.6425,-0.0000,0.0000,1.6424,3.6421,-0.3571,-0.3584,3.6432,1.9851,1.9870,-1.9870,-1.9851
7.70,0.0140,0.0907,1.6645,-0.0000,0.0000,1.6644,3.6642,-0.3351,-0.3364,3.6653,1.9851,1.9870,-1.9870,-1.9851
7.80,0.0140,0.0921,1.6865,-0.0000,0.0000,1.6864,3.6861,-0.3131,-0.3144,3.6872,1.9850,1.9870,-1.9870,-1.9851
7.90,0.0140,0.0935,1.7084,-0.0000,0.0000,1.7084,3.7081,-0.2911,-0.2925,3.7092,1.9850,1.9870,-1.9870,-1.9851
8.00,0.0140,0.0949,1.7304,-0.0000,0.0000,1.7304,3.7301,-0.2692,-0.2705,3.7312,1.9850,1.9870,-1.9870,-1.9851
8.10,0.0140,0.0963,1.7524,-0.0000,0.0000,1.7523,3.7521,-0.2472,-0.2485,3.7532,1.9850,1.9870,-1.9870,-1.9851
8.20,0.0140,0.0977,1.7744,-0.0000,0.0000,1.7743,3.7741,-0.2252,-0.2265,3.7752,1.9850,1.9869,-1.9870,-1.9850
8.30,0.0140,0.0991,1.7964,-0.0000,0.0000,1.7963,3.7961,-0.2032,-0.2045,3.7972,1.9850,1.9869,-1.9870,-1.9850
8.40,0.0140,0.1005,1.8184,-0.0000,0.0000,1.8183,3.8181,-0.1812,-0.1825,3.8192,1.9850,1.9869,-1.9870,-1.9850
8.50,0.0141,0.1019,1.8404,-0.0000,0.0000,1.8403,3.8401,-0.1592,-0.1605,3.8412,1.9850,1.9869,-1.9870,-1.9850
8.60,0.0141,0.1033,1.8624,-0.0000,0.0000,1.8624,3.8621,-0.1372,-0.1385,3.8632,1.9849,1.9869,-1.9870,-1.9850
8.70,0.0141,0.1047,1.8844,-0.0000,0.0000,1.8843,3.8841,-0.1152,-0.1165,3.8852,1.9849,1.9869,-1.9869,-1.9850
8.80,0.0141,0.1061,1.9064,-0.0000,0.0000,1.9063,3.9061,-0.0932,-0.0945,3.9072,1.9849,1.9869,-1.9869,-1.9850
8.90,0.0141,0.1075,1.9284,-0.0000,0.0000,1.9283,3.9281,-0.0712,-0.0725,3.9292,1.9849,1.9869,-1.9869,-1.9850
9.00,0.0141,0.1089,1.9504,-0.0000,0.0000,1.9503,3.9501,-0.0492,-0.0505,3.9512,1.9849,1.9869,-1.9869,-1.9849
9.10,0.0141,0.1103,1.9724,-0.0000,0.0000,1.9723,3.9721,-0.0272,-0.0286,3.9732,1.9849,1.9869,-1.9869,-1.9849
9.20,0.0141,0.1117,1.9944,-0.0000,0.0000,1.9943,3.9941,-0.0052,-0.0065,3.9952,1.9849,1.9868,-1.9869,-1.9849
9.30,0.0141,0.1132,2.0164,-0.0000,0.0000,2.0163,4.0161,0.0168,0.0155,4.0172,1.9849,1.9868,-1.9869,-1.9849
9.40,0.0142,0.1146,2.0383,-0.0000,0.0000,2.0383,4.0380,0.0388,0.0374,4.0391,1.9848,1.9868,-1.9869,-1.9849
9.50,0.0142,0.1160,2.0603,-0.0000,0.0000,2.0603,4.0600,0.0608,0.0595,4.0611,1.9848,1.9868,-1.9869,-1.9849
9.60,0.0142,0.1174,2.0823,-0.0000,0.0000,2.0823,4.0820,0.0828,0.0814,4.0831,1.9848,1.9868,-1.9869,-1.9849
9.70,0.0142,0.1188,2.1043,-0.0000,0.0000,2.1043,4.1040,0.1047,0.1034,4.1051,1.9848,1.9868,-1.9869,-1.9849
9.80,0.0142,0.1202,2.1263,-0.0000,0.0000,2.1263,4.1260,0.1268,0.1254,4.1271,1.9848,1.9868,-1.9868,-1.9848
9.90,0.0142,0.1217,2.1483,-0.0000,0.0000,2.1483,4.1480,0.1487,0.1474,4.1491,1.9848,1.9868,-1.9868,-1.9848
10.00,0.0142,0.1231,2.1704,-0.0000,0.0000,2.1703,4.1700,0.1708,0.1695,4.1711,1.9848,1.9868,-1.9868,-1.9848
10.10,0.0142,0.1245,2.1923,-0.0000,0.0000,2.1923,4.1920,0.1927,0.1914,4.1931,1.9848,1.9868,-1.9868,-1.9848
10.20,0.0142,0.1259,2.2143,-0.0000,0.0000,2.2143,4.2140,0.2148,0.2134,4.2151,1.9847,1.9868,-1.9868,-1.9848
10.30,0.0143,0.1274,2.2363,-0.0000,0.0000,2.2362,4.2359,0.2367,0.2354,4.2370,1.9847,1.9867,-1.9868,-1.9848
10.40,0.0143,0.1288,2.2583,-0.0000,0.0000,2.2582,4.2580,0.2587,0.2574,4.2591,1.9847,1.9867,-1.9868,-1.9848
10.50,0.0143,0.1302,2.2803,-0.0000,0.0000,2.2802,4.2800,0.2807,0.2794,4.2811,1.9847,1.9867,-1.9868,-1.9848
10.60,0.0143,0.1316,2.3023,-0.0000,0.0000,2.3022,4.3020,0.3027,0.3014,4.3031,1.9847,1.9867,-1.9868,-1.9847
10.70,0.0143,0.1331,2.3242,-0.0000,0.0000,2.3242,4.3239,0.3246,0.3234,4.3250,1.9847,1.9867,-1.9868,-1.9847
10.80,0.0143,0.1345,2.3463,-0.0000,0.0000,2.3462,4.3460,0.3467,0.3454,4.3471,1.9847,1.9867,-1.9867,-1.9847
10.90,0.0143,0.1359,2.3682,-0.0000,0.0000,2.3682,4.3679,0.3687,0.3674,4.3690,1.9847,1.9867,-1.9867,-1.9847
11.00,0.0143,0.1374,2.3903,-0.0000,0.0000,2.3902,4.3899,0.3907,0.3894,4.3910,1.9846,1.9867,-1.9867,-1.9847
11.10,0.0143,0.1388,2.4122,-0.0000,0.0000,2.4122,4.4119,0.4126,0.4113,4.4130,1.9846,1.9867,-1.9867,-1.9847
11.20,0.0144,0.1402,2.4342,-0.0000,0.0000,2.4342,4.4339,0.4347,0.4333,4.4350,1.9846,1.9867,-1.9867,-1.9847
11.30,0.0144,0.1417,2.4562,-0.0000,0.0000,2.4562,4.4559,0.4567,0.4553,4.4570,1.9846,1.9866,-1.9867,-1.9847
11.40,0.0144,0.1431,2.4782,-0.0000,0.0000,2.4781,4.4779,0.4786,0.4773,4.4790,1.9846,1.9866,-1.9867,-1.9846
11.50,0.0144,0.1445,2.5001,-0.0000,0.0000,2.5000,4.4998,0.5005,0.4992,4.5009,1.9846,1.9866,-1.9867,-1.9846
11.60,0.0144,0.1460,2.5219,-0.0000,0.0000,2.5219,4.5216,0.5223,0.5210,4.5227,1.9846,1.9866,-1.9867,-1.9846
11.70,0.0144,0.1474,2.5440,-0.0000,0.0000,2.5439,4.5437,0.5444,0.5431,4.5448,1.9845,1.9866,-1.9867,-1.9846
11.80,0.0144,0.1489,2.5660,-0.0000,0.0000,2.5659,4.5656,0.5664,0.5650,4.5667,1.9845,1.9866,-1.9866,-1.9846
11.90,0.0144,0.1503,2.5880,-0.0000,0.0000,2.5879,4.5876,0.5884,0.5871,4.5887,1.9845,1.9866,-1.9866,-1.9846
12.00,0.0144,0.1517,2.6100,-0.0000,0.0000,2.6099,4.6097,0.6104,0.6091,4.6108,1.9845,1.9866,-1.9866,-1.9846
12.10,0.0145,0.1532,2.6320,-0.0000,0.0000,2.6319,4.6316,0.6324,0.6311,4.6327,1.9845,1.9866,-1.9866,-1.9845
12.20,0.0145,0.1546,2.6539,-0.0000,0.0000,2.6539,4.6536,0.6544,0.6531,4.6547,1.9845,1.9866,-1.9866,-1.9845
12.30,0.0145,0.1561,2.6760,-0.0000,0.0000,2.6760,4.6757,0.6764,0.6751,4.6768,1.9845,1.9865,-1.9866,-1.9845
12.40,0.0145,0.1575,2.6979,-0.0000,0.0000,2.6979,4.6976,0.6983,0.6970,4.6987,1.9845,1.9865,-1.9866,-1.9845
12.50,0.0145,0.1590,2.7198,-0.0000,0.0000,2.7197,4.7194,0.7202,0.7189,4.7205,1.9844,1.9865,-1.9866,-1.9845
12.60,0.0145,0.1604,2.7418,-0.0000,0.0000,2.7417,4.7415,0.7422,0.7409,4.7426,1.9844,1.9865,-1.9866,-1.9845
12.70,0.0145,0.1619,2.7638,-0.0000,0.0000,2.7637,4.7635,0.7642,0.7629,4.7646,1.9844,1.9865,-1.9866,-1.9845
12.80,0.0145,0.1633,2.7858,-0.0000,0.0000,2.7858,4.7855,0.7862,0.7849,4.7866,1.9844,1.9865,-1.9866,-1.9845
12.90,0.0146,0.1648,2.8078,-0.0000,0.0000,2.8078,4.8075,0.8082,0.8069,4.8086,1.9844,1.9865,-1.9865,-1.9844
13.00,0.0146,0.1663,2.8298,-0.0000,0.0000,2.8298,4.8295,0.8302,0.8289,4.8306,1.9844,1.9865,-1.9865,-1.9844
13.10,0.0146,0.1677,2.8518,-0.0000,0.0000,2.8517,4.8515,0.8522,0.8509,4.8526,1.9844,1.9865,-1.9865,-1.9844
13.20,0.0146,0.1692,2.8738,-0.0000,0.0000,2.8738,4.8735,0.8742,0.8729,4.8746,1.9843,1.9865,-1.9865,-1.9844
13.30,0.0146,0.1706,2.8958,-0.0000,0.0000,2.8957,4.8954,0.8962,0.8949,4.8965,1.9843,1.9864,-1.9865,-1.9844
13.40,0.0146,0.1721,2.9178,-0.0000,0.0000,2.9177,4.9175,0.9182,0.9169,4.9186,1.9843,1.9864,-1.9865,-1.9844
13.50,0.0146,0.1735,2.9398,-0.0000,0.0000,2.9398,4.9395,0.9402,0.9389,4.9406,1.9843,1.9864,-1.9865,-1.9844
13.60,0.0146,0.1750,2.9618,-0.0000,0.0000,2.9617,4.9615,0.9622,0.9609,4.9626,1.9843,1.9864,-1.9865,-1.9843
13.70,0.0146,0.1765,2.9838,-0.0000,0.0000,2.9837,4.9835,0.9842,0.9829,4.9846,1.9843,1.9864,-1.9865,-1.9843
13.80,0.0147,0.1779,3.0057,-0.0000,0.0000,3.0057,5.0054,1.0062,1.0048,5.0065,1.9843,1.9864,-1.9865,-1.9843
13.90,0.0147,0.1794,3.0277,-0.0000,0.0000,3.0277,5.0274,1.0281,1.0268,5.0285,1.9843,1.9864,-1.9864,-1.9843
14.00,0.0147,0.1809,3.0497,-0.0000,0.0000,3.0497,5.0494,1.0502,1.0489,5.0505,1.9842,1.9864,-1.9864,-1.9843
14.10,0.0147,0.1823,3.0717,-0.0000,0.0000,3.0717,5.0714,1.0722,1.0708,5.0725,1.9842,1.9864,-1.9864,-1.9843
14.20,0.0147,0.1838,3.0937,-0.0000,0.0000,3.0937,5.0934,1.0942,1.0928,5.0945,1.9842,1.9864,-1.9864,-1.9843
14.30,0.0147,0.1853,3.1157,-0.0000,0.0000,3.1157,5.1154,1.1162,1.1149,5.1165,1.9842,1.9863,-1.9864,-1.9843
14.40,0.0147,0.1868,3.1377,-0.0000,0.0000,3.1377,5.1374,1.1381,1.1369,5.1385,1.9842,1.9863,-1.9864,-1.9842
14.50,0.0147,0.1882,3.1597,-0.0000,0.0000,3.1597,5.1594,1.1602,1.1589,5.1605,1.9842,1.9863,-1.9864,-1.9842
14.60,0.0148,0.1897,3.1817,-0.0000,0.0000,3.1817,5.1814,1.1821,1.1808,5.1825,1.9842,1.9863,-1.9864,-1.9842
14.70,0.0148,0.1912,3.2037,-0.0000,0.0000,3.2037,5.2034,1.2042,1.2028,5.2045,1.9841,1.9863,-1.9864,-1.9842
14.80,0.0148,0.1927,3.2257,-0.0000,0.0000,3.2257,5.2254,1.2262,1.2248,5.2265,1.9841,1.9863,-1.9864,-1.9842
14.90,0.0148,0.1941,3.2477,-0.0000,0.0000,3.2477,5.2474,1.2482,1.2468,5.2485,1.9841,1.9863,-1.9863,-1.9842
15.00,0.0148,0.1956,3.2697,-0.0000,0.0000,3.2697,5.2694,1.2701,1.2688,5.2705,1.9841,1.9863,-1.9863,-1.9842
15.10,0.0148,0.1971,3.2917,-0.0000,0.0000,3.2916,5.2914,1.2921,1.2908,5.2925,1.9841,1.9863,-1.9863,-1.9841
15.20,0.0148,0.1986,3.3137,-0.0000,0.0000,3.3136,5.3134,1.3141,1.3128,5.3145,1.9841,1.9862,-1.9863,-1.9841
15.30,0.0148,0.2001,3.3356,-0.0000,0.0000,3.3355,5.3353,1.3360,1.3347,5.3364,1.9841,1.9862,-1.9863,-1.9841
15.40,0.0148,0.2015,3.3577,-0.0000,0.0000,3.3576,5.3574,1.3581,1.3568,5.3585,1.9840,1.9862,-1.9863,-1.9841
15.50,0.0149,0.2030,3.3796,-0.0000,0.0000,3.3795,5.3792,1.3800,1.3787,5.3803,1.9840,1.9862,-1.9863,-1.9841
15.60,0.0149,0.2045,3.4017,-0.0000,0.0000,3.4016,5.4013,1.4021,1.4008,5.4024,1.9840,1.9862,-1.9863,-1.9841
15.70,0.0149,0.2060,3.4237,-0.0000,0.0000,3.4236,5.4234,1.4241,1.4228,5.4244,1.9840,1.9862,-1.9863,-1.9841
15.80,0.0149,0.2075,3.4456,-0.0000,0.0000,3.4456,5.4453,1.4460,1.4447,5.4464,1.9840,1.9862,-1.9862,-1.9840
15.90,0.0149,0.2090,3.4676,-0.0000,0.0000,3.4676,5.4673,1.4680,1.4667,5.4684,1.9840,1.9862,-1.9862,-1.9840
16.00,0.0149,0.2105,3.4896,-0.0000,0.0000,3.4896,5.4893,1.4900,1.4887,5.4904,1.9840,1.9862,-1.9862,-1.9840
16.10,0.0149,0.2120,3.5116,-0.0000,0.0000,3.5115,5.5113,1.5120,1.5107,5.5124,1.9839,1.9862,-1.9862,-1.9840
16.20,0.0149,0.2135,3.5336,-0.0000,0.0000,3.5336,5.5333,1.5340,1.5327,5.5344,1.9839,1.9861,-1.9862,-1.9840
16.30,0.0150,0.2150,3.5557,-0.0000,0.0000,3.5556,5.5553,1.5561,1.5548,5.5564,1.9839,1.9861,-1.9862,-1.9840
16.40,0.0150,0.2164,3.5776,-0.0000,0.0000,3.5775,5.5773,1.5780,1.5767,5.5784,1.9839,1.9861,-1.9862,-1.9840
16.50,0.0150,0.2179,3.5996,-0.0000,0.0000,3.5995,5.5993,1.6000,1.5987,5.6004,1.9839,1.9861,-1.9862,-1.9840
16.60,0.0150,0.2194,3.6216,-0.0000,0.0000,3.6216,5.6213,1.6220,1.6207,5.6224,1.9839,1.9861,-1.9862,-1.9839
16.70,0.0150,0.2209,3.6436,-0.0000,0.0000,3.6436,5.6433,1.6440,1.6427,5.6444,1.9839,1.9861,-1.9862,-1.9839
16.80,0.0150,0.2224,3.6656,-0.0000,0.0000,3.6655,5.6653,1.6660,1.6647,5.6664,1.9838,1.9861,-1.9861,-1.9839
16.90,0.0150,0.2239,3.6876,-0.0000,0.0000,3.6876,5.6873,1.6880,1.6867,5.6884,1.9838,1.9861,-1.9861,-1.9839
17.00,0.0150,0.2255,3.7096,-0.0000,0.0000,3.7095,5.7093,1.7100,1.7087,5.7104,1.9838,1.9861,-1.9861,-1.9839
17.10,0.0151,0.2270,3.7315,-0.0000,0.0000,3.7315,5.7312,1.7320,1.7306,5.7323,1.9838,1.9860,-1.9861,-1.9839
17.20,0.0151,0.2285,3.7535,-0.0000,0.0000,3.7535,5.7532,1.7539,1.7526,5.7543,1.9838,1.9860,-1.9861,-1.9839
17.30,0.0151,0.2300,3.7755,-0.0000,0.0000,3.7755,5.7752,1.7759,1.7746,5.7763,1.9838,1.9860,-1.9861,-1.9838
17.40,0.0151,0.2315,3.7975,-0.0000,0.0000,3.7975,5.7972,1.7979,1.7966,5.7983,1.9838,1.9860,-1.9861,-1.9838
17.50,0.0151,0.2330,3.8195,-0.0000,0.0000,3.8195,5.8192,1.8200,1.8187,5.8203,1.9837,1.9860,-1.9861,-1.9838
17.60,0.0151,0.2345,3.8415,-0.0000,0.0000,3.8415,5.8412,1.8419,1.8406,5.8423,1.9837,1.9860,-1.9861,-1.9838
17.70,0.0151,0.2360,3.8634,-0.0000,0.0000,3.8633,5.8630,1.8638,1.8625,5.8641,1.9837,1.9860,-1.9860,-1.9838
